mLL,ptLL,etmiss,mtw,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
92.6699,40.4354,46.636,91.6998,54.7221,0.744187,70.5874,2.49296,-1,11,48.3232,2.30573,244.786,0.0221674,1,13,40.5147,0.0378979,40.5438,0.178776,1,11,1
90.9638,101.189,111.521,106.089,92.8137,-0.888077,131.883,0.848697,-1,11,37.5946,-0.0748129,37.6999,2.22142,1,11,25.8956,-2.15748,113.486,-0.522264,1,11,1
92.478,11.3354,38.0014,55.5798,39.0192,0.291361,40.6873,0.544617,1,13,31.7301,1.85124,103.516,-2.34963,-1,13,22.1953,1.89812,75.7214,0.655513,-1,11,1
90.8426,35.0288,67.593,99.2503,61.9772,2.23514,292.991,-2.2304,1,11,47.2518,1.97148,172.954,-0.493733,-1,13,33.6415,0.69994,42.2243,1.8144,1,13,1
91.3372,32.0129,42.7272,76.3544,50.8222,0.804411,68.1712,-2.29461,1,13,38.0214,1.66736,104.31,-0.187199,1,13,22.1525,-0.882942,31.3633,0.419231,-1,13,1
91.335,104.492,119.35,81.0124,90.8261,0.679872,112.638,3.05956,-1,11,47.9561,0.68446,59.635,-1.69524,1,11,31.3911,2.21644,145.712,1.76814,1,11,1
92.6406,52.2322,34.0837,30.9328,77.5311,-0.168519,78.6347,-0.491121,1,13,31.5533,1.67816,87.4409,2.82278,-1,11,25.3531,-0.766974,33.1831,2.59679,-1,13,1
88.8315,92.4034,74.8969,70.7349,92.2767,0.570593,107.71,-0.12716,-1,11,40.8062,-0.873375,57.3843,-2.8299,1,13,34.7823,0.27348,36.0912,-1.88385,1,11,1
94.1021,38.9493,61.6701,92.0808,61.8548,-1.04099,98.5077,-0.132707,1,11,36.4847,-0.4904,40.9604,2.37628,-1,11,35.1964,-0.941715,51.991,0.273404,-1,11,1
86.4572,100.555,116.401,46.018,82.4015,-0.413318,89.5406,1.82282,-1,11,27.5573,0.940967,40.6845,-1.30897,-1,13,25.6501,1.10798,43.0727,0.933628,1,11,1
81.853,107.962,73.6254,54.4969,83.52,0.422904,91.1008,0.956662,1,13,30.335,1.77618,92.1657,0.221947,-1,13,23.9171,-0.649878,29.148,-0.733829,1,11,1
91.8471,8.30517,31.6098,64.7591,45.2776,2.16284,199.466,1.27763,1,11,37.4256,1.20824,68.2327,-1.79822,-1,11,34.2295,0.87226,48.0979,1.36628,-1,11,1
91.1028,64.2682,61.4358,85.3328,56.5059,0.532508,64.7087,-2.00087,1,13,54.3462,0.317975,57.117,-0.095621,-1,13,40.7068,2.27189,199.48,-1.77639,1,13,1
86.9954,153.323,114.403,76.3725,135.321,-2.33901,708.228,0.239321,1,13,23.394,-1.06371,37.9249,0.985541,-1,13,22.2185,-2.1143,93.3671,-1.82926,1,11,1
